recommender,alpha,beta,topK,gamma,MAP
RP3betaRecommender,0.5323234500085833,0.5131535226681272,190,26,0.01802102794995082
RP3betaRecommender,0.4840912368081086,0.4260311109814965,228,99,0.017942865491408846
RP3betaRecommender,0.2979549378528405,0.4379620241878615,158,41,0.018039477726931336
RP3betaRecommender,0.389936615275746,0.581708370450315,159,49,0.01750012713755699
RP3betaRecommender,0.2920548079621229,0.4914333893638726,130,37,0.01790214959417701
RP3betaRecommender,0.18795849801738593,0.35237181529911993,171,56,0.017865915577116562
RP3betaRecommender,0.34067561706129157,0.41488350459043516,338,45,0.017643120392260316
RP3betaRecommender,0.25014271073020516,0.6222939514463108,130,30,0.016750584167874307
RP3betaRecommender,0.15368742648491118,0.2873602371579028,198,38,0.01755967771953398
RP3betaRecommender,0.3801063484989561,0.35717658127821517,378,52,0.01727940986830501
RP3betaRecommender,0.4209557991973767,0.24471147687041328,312,23,0.017011244891559495
RP3betaRecommender,0.6096615225294588,0.4509226965018302,151,86,0.018150337796448656
RP3betaRecommender,0.613819716409267,0.392075116185376,146,86,0.01812375449523819
RP3betaRecommender,0.5951820879791879,0.3892034131745397,131,93,0.018207933590414335
RP3betaRecommender,0.6154785517832638,0.38856512782118613,121,89,0.018236924684159047
RP3betaRecommender,0.6236589954999215,0.3828982406666647,118,90,0.018278943749258817
RP3betaRecommender,0.6199854937884497,0.3933971899610989,119,90,0.018250815650879507
RP3betaRecommender,0.6284421510120025,0.3244474461946411,116,92,0.01820921105225214
RP3betaRecommender,0.7231538744811109,0.3164159853716294,122,93,0.01813444617212803
RP3betaRecommender,0.6568839769095002,0.2696125929735273,102,91,0.01824475956749462
RP3betaRecommender,0.6662673776212737,0.25565379776757835,102,100,0.018228831594267917
RP3betaRecommender,0.6663354036651119,0.18346026865936527,112,100,0.01808142523067971
RP3betaRecommender,0.6477733884101222,0.271045827740647,100,90,0.01825729870610098
RP3betaRecommender,0.5641282243862688,0.26003638681976526,100,89,0.018266786008571276
RP3betaRecommender,0.5558603673140636,0.10606398990663332,100,82,0.017819173360825252
RP3betaRecommender,0.5155253664397854,0.20378844346033273,119,90,0.018082927788357316
RP3betaRecommender,0.743532337024774,0.26106664062150753,136,76,0.017891913877753973
RP3betaRecommender,0.5778164993411947,0.15639945367085262,495,96,0.015945337995532678
RP3betaRecommender,0.6437300981799106,0.2955649287883162,100,89,0.01829900697125049
RP3betaRecommender,0.4808443504260377,0.28519667717995956,102,84,0.018273893880941586
RP3betaRecommender,0.4780943043744439,0.2968103153610403,114,85,0.0182035057117192
RP3betaRecommender,0.701748587597935,0.22989534288670066,139,83,0.017847077197124108
RP3betaRecommender,0.6429640503410934,0.26839704112024343,106,96,0.018224433166017896
RP3betaRecommender,0.547831046586839,0.19143177032275135,127,90,0.018018428493035848
RP3betaRecommender,0.6908975050517904,0.2997355229642876,109,77,0.01821953864046104
RP3betaRecommender,0.5817078651486325,0.33051427396133287,100,82,0.01832242540829594
RP3betaRecommender,0.5851158915325916,0.34270989222581794,140,83,0.018098961927502696
RP3betaRecommender,0.5113344251770026,0.24070684506485535,180,73,0.017639874278165973
RP3betaRecommender,0.46263522346653824,0.3376690033613583,100,68,0.018311076521764086
RP3betaRecommender,0.46334412454563434,0.33885525697382135,171,68,0.017953618467496102
RP3betaRecommender,0.42521207643017156,0.2990148918372475,100,62,0.01829832463025959
RP3betaRecommender,0.426675533428454,0.3138255615698257,142,60,0.01801756747752999
RP3betaRecommender,0.5344452614647466,0.28970787424240363,113,68,0.018196018523135574
RP3betaRecommender,0.49332778713920206,0.20942597228837623,100,81,0.01822515124188309
RP3betaRecommender,0.5672105994128537,0.36912123160752874,122,78,0.01822867774395669
RP3betaRecommender,0.4596056181564623,0.28314903346586145,133,63,0.018040594544146416
RP3betaRecommender,0.5335157248839855,0.16733252641724095,111,88,0.018085495825807
RP3betaRecommender,0.438723444337952,0.33685218925745763,444,74,0.016981897522397454
RP3betaRecommender,0.40408273385624355,0.3158683368065287,128,95,0.018075472504536116
RP3betaRecommender,0.5154189092892776,0.2275854185227922,153,85,0.01781802958625076
RP3betaRecommender,0.6463884618172302,0.2511200011237765,102,63,0.01823128787603052
RP3betaRecommender,0.3573721187240222,0.8955696489374603,146,97,0.009451164864135457
RP3betaRecommender,0.594360147884869,0.3764059237560962,120,88,0.018261472866744705
RP3betaRecommender,0.5984225304321596,0.3719274067264908,122,80,0.01823911972255173
RP3betaRecommender,0.5720538862485409,0.35478674055527326,115,86,0.01824660467562254
RP3betaRecommender,0.6425990400435813,0.29432085130970503,100,93,0.018302379232365933
RP3betaRecommender,0.4817787250347011,0.3010955513814626,134,94,0.018044754696189533
RP3betaRecommender,0.5941552070201248,0.40473098650854966,161,88,0.018085101039991714
RP3betaRecommender,0.6816734474921664,0.3340341790628473,110,84,0.018228582810956007
RP3betaRecommender,0.5507672287988223,0.46836730817801897,128,60,0.018150253957282602
RP3betaRecommender,0.6326413291248097,0.3781131735284627,368,98,0.017297366719471574
RP3betaRecommender,0.7256375487458051,0.30088413857043395,110,75,0.01820090480937446
RP3betaRecommender,0.6387769888519237,0.27538263329569856,100,92,0.018259989787913034
RP3betaRecommender,0.6240528680097069,0.27721943753886436,122,92,0.018106828986621856
RP3betaRecommender,0.600271225332781,0.2455959367296373,100,87,0.018255843248208444
RP3betaRecommender,0.6649373359768148,0.35803840738189047,110,94,0.018237909779747166
RP3betaRecommender,0.7953912040754765,0.31317049877879716,138,88,0.017941501358657814
RP3betaRecommender,0.7174260279609731,0.32992190610275096,265,57,0.017370357716344566
RP3betaRecommender,0.5014957578691898,0.27800348183106605,120,79,0.01813889461296536
RP3betaRecommender,0.5789692037366662,0.23342279739714433,128,92,0.01806062515225242
RP3betaRecommender,0.46784325458614207,0.257319449836944,150,70,0.017904200848075254
