recommender,TopK,shrink,MAP
ItemKNNCFRecommender,58,63,0.00255127519172463
ItemKNNCFRecommender,39,76,0.0024401895589696554
ItemKNNCFRecommender,29,110,0.0025487910520013255
ItemKNNCFRecommender,71,83,0.002705482942240567
ItemKNNCFRecommender,83,86,0.002686565262809244
ItemKNNCFRecommender,64,60,0.002631532013554486
ItemKNNCFRecommender,67,80,0.002705482942240567
ItemKNNCFRecommender,21,66,0.002460699635659508
ItemKNNCFRecommender,51,69,0.0024502535096435577
ItemKNNCFRecommender,52,48,0.00247738795892889
ItemKNNCFRecommender,124,60,0.002431463221992917
ItemKNNCFRecommender,96,55,0.0025222298657290635
ItemKNNCFRecommender,71,51,0.002561402838288874
ItemKNNCFRecommender,112,68,0.002519363550663711
ItemKNNCFRecommender,91,102,0.0026812148080205865
ItemKNNCFRecommender,74,92,0.002721534306606538
ItemKNNCFRecommender,109,81,0.0025260516191495325
ItemKNNCFRecommender,77,92,0.002705482942240567
ItemKNNCFRecommender,26,89,0.0025650335040383197
ItemKNNCFRecommender,43,98,0.0025403194985859517
ItemKNNCFRecommender,146,75,0.0025088537287574204
ItemKNNCFRecommender,124,104,0.0025287268465438613
ItemKNNCFRecommender,45,98,0.0025750974547122225
ItemKNNCFRecommender,88,79,0.002686565262809244
ItemKNNCFRecommender,70,80,0.002705482942240567
ItemKNNCFRecommender,60,72,0.002649557950521033
ItemKNNCFRecommender,67,88,0.002709304695661036
ItemKNNCFRecommender,74,87,0.002705482942240567
ItemKNNCFRecommender,59,94,0.0027525542052026807
ItemKNNCFRecommender,52,79,0.0026268185176692403
ItemKNNCFRecommender,54,92,0.0027057377258019317
ItemKNNCFRecommender,151,88,0.002495477591785778
ItemKNNCFRecommender,423,95,0.002523567479426227
ItemKNNCFRecommender,64,72,0.002728031287421336
ItemKNNCFRecommender,54,108,0.0027084129531962605
ItemKNNCFRecommender,22,118,0.0024170042548854755
ItemKNNCFRecommender,90,107,0.0026892404902035725
ItemKNNCFRecommender,94,75,0.0026999413997808863
ItemKNNCFRecommender,36,117,0.0025257968355881684
ItemKNNCFRecommender,33,84,0.0025153507095722187
ItemKNNCFRecommender,101,125,0.002535606002700706
ItemKNNCFRecommender,113,96,0.0026063084409793883
ItemKNNCFRecommender,23,112,0.0025213381232642874
ItemKNNCFRecommender,80,101,0.002718667991541186
ItemKNNCFRecommender,53,93,0.002707521210731484
ItemKNNCFRecommender,76,106,0.0027242095340008665
ItemKNNCFRecommender,59,101,0.0027525542052026807
ItemKNNCFRecommender,81,113,0.0027052918545695435
ItemKNNCFRecommender,39,103,0.002520701164360876
ItemKNNCFRecommender,91,107,0.0026892404902035725
ItemKNNCFRecommender,84,88,0.002686565262809244
ItemKNNCFRecommender,74,100,0.002721534306606538
ItemKNNCFRecommender,63,100,0.002748541364111188
ItemKNNCFRecommender,130,122,0.002535606002700706
ItemKNNCFRecommender,68,97,0.002737585670972509
ItemKNNCFRecommender,51,103,0.0025550332492547587
ItemKNNCFRecommender,60,99,0.0027525542052026807
ItemKNNCFRecommender,76,115,0.0027242095340008665
ItemKNNCFRecommender,95,98,0.002686565262809244
ItemKNNCFRecommender,107,113,0.002608983668373717
ItemKNNCFRecommender,118,105,0.002608983668373717
ItemKNNCFRecommender,98,91,0.0026063084409793883
ItemKNNCFRecommender,42,99,0.002516242452036995
ItemKNNCFRecommender,72,119,0.0026508318683278556
ItemKNNCFRecommender,61,96,0.0027507707202731285
ItemKNNCFRecommender,81,100,0.002702616627175215
ItemKNNCFRecommender,61,96,0.0027507707202731285
ItemKNNCFRecommender,310,101,0.0024712094575657976
ItemKNNCFRecommender,62,96,0.002748541364111188
ItemKNNCFRecommender,54,106,0.0027084129531962605
ItemKNNCFRecommender,87,102,0.002697266172386558
ItemKNNCFRecommender,74,131,0.0026508318683278556
ItemKNNCFRecommender,60,110,0.002755229432597009
ItemKNNCFRecommender,36,109,0.0025229305205228163
ItemKNNCFRecommender,79,10,0.0024614002904532607
ItemKNNCFRecommender,19,95,0.002542739942418916
ItemKNNCFRecommender,30,112,0.002530255547912049
ItemKNNCFRecommender,44,71,0.0024997452164386355
ItemKNNCFRecommender,59,96,0.0027507707202731285
ItemKNNCFRecommender,87,62,0.0026034421259140362
ItemKNNCFRecommender,17,126,0.002507325027389233
ItemKNNCFRecommender,63,105,0.002753000076435069
ItemKNNCFRecommender,44,116,0.002577772682106551
ItemKNNCFRecommender,66,124,0.0026818517669239986
ItemKNNCFRecommender,59,96,0.0027507707202731285
ItemKNNCFRecommender,55,105,0.002755229432597009
ItemKNNCFRecommender,57,96,0.0027525542052026807
ItemKNNCFRecommender,55,112,0.002755229432597009
ItemKNNCFRecommender,53,95,0.002707521210731484
