recommender,TopK,shrink,MAP
ItemKNNCFRecommender,375,130,0.004900745182224197
ItemKNNCFRecommender,355,125,0.004912119139856204
ItemKNNCFRecommender,352,127,0.0049059327879003665
ItemKNNCFRecommender,348,127,0.004906440973507374
ItemKNNCFRecommender,346,130,0.00489106909326763
ItemKNNCFRecommender,332,146,0.004853363483721024
ItemKNNCFRecommender,351,126,0.004903089298492365
ItemKNNCFRecommender,315,122,0.0048534427959255905
ItemKNNCFRecommender,370,112,0.004907004971406482
ItemKNNCFRecommender,341,112,0.0048989885637675985
ItemKNNCFRecommender,354,115,0.004913132573581162
ItemKNNCFRecommender,373,115,0.004893439646937317
ItemKNNCFRecommender,207,109,0.004852846485646841
ItemKNNCFRecommender,392,111,0.004857549405628465
ItemKNNCFRecommender,379,115,0.004895542889102741
ItemKNNCFRecommender,352,122,0.004898136691940824
ItemKNNCFRecommender,339,117,0.004902178676884428
ItemKNNCFRecommender,369,110,0.004898630190102542
ItemKNNCFRecommender,355,127,0.0049120280776954114
ItemKNNCFRecommender,357,121,0.004915429690024405
ItemKNNCFRecommender,358,121,0.004912127952323378
ItemKNNCFRecommender,369,121,0.0048991383757095545
ItemKNNCFRecommender,359,114,0.004912492200966551
ItemKNNCFRecommender,360,115,0.004918014680395316
ItemKNNCFRecommender,358,116,0.004907715843758483
ItemKNNCFRecommender,385,114,0.0048898588477757935
ItemKNNCFRecommender,333,119,0.004878981325794563
ItemKNNCFRecommender,105,109,0.004766513682236542
ItemKNNCFRecommender,360,116,0.004915321002929264
ItemKNNCFRecommender,360,117,0.004914522005905528
ItemKNNCFRecommender,361,121,0.00490952827450718
ItemKNNCFRecommender,359,117,0.004912233701929461
ItemKNNCFRecommender,379,115,0.004895542889102741
ItemKNNCFRecommender,344,116,0.004900671744997749
ItemKNNCFRecommender,362,119,0.004904372981210648
ItemKNNCFRecommender,356,106,0.00490831802901534
ItemKNNCFRecommender,373,114,0.004895163953014277
ItemKNNCFRecommender,346,119,0.00489703513354413
ItemKNNCFRecommender,359,122,0.004901864365555239
ItemKNNCFRecommender,367,112,0.004906047349973621
ItemKNNCFRecommender,359,121,0.004906584910471209
ItemKNNCFRecommender,378,118,0.004889444661818639
ItemKNNCFRecommender,338,116,0.004892949086264653
ItemKNNCFRecommender,355,123,0.004906144287112532
ItemKNNCFRecommender,344,111,0.004890651969821411
ItemKNNCFRecommender,384,119,0.004891636028655798
ItemKNNCFRecommender,366,114,0.004916775060012903
ItemKNNCFRecommender,370,108,0.00489604519973163
ItemKNNCFRecommender,362,114,0.004908153529628102
ItemKNNCFRecommender,354,116,0.004912298326688732
ItemKNNCFRecommender,348,112,0.004902804362053751
ItemKNNCFRecommender,353,116,0.004912157327213955
ItemKNNCFRecommender,161,117,0.004832642435906929
ItemKNNCFRecommender,372,52,0.00482568058683982
ItemKNNCFRecommender,338,123,0.004881069880514693
ItemKNNCFRecommender,355,116,0.004911096893664071
ItemKNNCFRecommender,255,106,0.004896192074184523
ItemKNNCFRecommender,354,116,0.004912298326688732
ItemKNNCFRecommender,353,115,0.0049150977537608664
ItemKNNCFRecommender,327,114,0.004886842046513378
ItemKNNCFRecommender,356,110,0.004902246239132758
ItemKNNCFRecommender,345,118,0.004897117383237748
ItemKNNCFRecommender,364,116,0.004912571513171113
ItemKNNCFRecommender,350,118,0.004906379286237159
ItemKNNCFRecommender,364,125,0.004911690266453758
ItemKNNCFRecommender,338,112,0.004890161409148748
ItemKNNCFRecommender,376,120,0.004883690120754302
ItemKNNCFRecommender,355,115,0.004913687759013097
ItemKNNCFRecommender,358,116,0.004907715843758483
ItemKNNCFRecommender,349,114,0.004903400672332494
ItemKNNCFRecommender,360,109,0.004896171511761118
ItemKNNCFRecommender,367,121,0.004910961769167412
ItemKNNCFRecommender,345,116,0.0049001371219892205
ItemKNNCFRecommender,356,112,0.004912430513696334
ItemKNNCFRecommender,372,108,0.0048811991300332395
ItemKNNCFRecommender,331,111,0.004872351412990986
ItemKNNCFRecommender,363,113,0.00490585641318486
