recommender,alpha,TopK,MAP
P3alphaRecommender,0.23849635282685827,918,0.004172301978264294
P3alphaRecommender,0.8560129841776012,513,0.0044966135204199086
P3alphaRecommender,0.6343601459068936,270,0.004536749843861946
P3alphaRecommender,0.48750026777359945,27,0.00446801074134734
P3alphaRecommender,0.23467971498460927,407,0.004227746831633843
P3alphaRecommender,0.660095094142831,414,0.004531091115330571
P3alphaRecommender,0.8579247279695602,76,0.004336834729903697
P3alphaRecommender,0.27899172984238063,388,0.004249960665822244
P3alphaRecommender,0.19822730565866423,655,0.004164357221050986
P3alphaRecommender,0.5709437816071954,119,0.004618239587885662
P3alphaRecommender,0.7555151778186427,151,0.004688927298408723
P3alphaRecommender,0.4135165229684743,388,0.004328229701866416
P3alphaRecommender,0.43751468985111475,175,0.004480312251556506
P3alphaRecommender,0.4581953260119763,292,0.004402783584085018
P3alphaRecommender,0.24088095265298845,764,0.0041731497103626
P3alphaRecommender,0.14693498344302258,782,0.004141196123851797
P3alphaRecommender,0.3321438143907285,832,0.004208329327163046
P3alphaRecommender,0.49677228135608653,784,0.004301937021380438
P3alphaRecommender,0.4268512648130479,500,0.004310345258005263
P3alphaRecommender,0.709026438089735,885,0.004479910089084025
P3alphaRecommender,0.551399335864167,821,0.0043503748259203934
P3alphaRecommender,0.7525058994121152,46,0.004660242163114616
P3alphaRecommender,0.7604382149773116,802,0.004529406359151657
P3alphaRecommender,0.8300065802995281,480,0.004566981935405068
P3alphaRecommender,0.6482454924717505,409,0.0045223124597444705
P3alphaRecommender,0.18705808990678596,316,0.0042469630903597
P3alphaRecommender,0.31220025121677764,144,0.0044157861038442115
P3alphaRecommender,0.8727567214501555,131,0.004319433240551663
P3alphaRecommender,0.6489785856677105,740,0.004449919988097571
P3alphaRecommender,0.8603364961831658,817,0.004433596290321685
P3alphaRecommender,0.7145502957937822,22,0.004610567740456142
P3alphaRecommender,0.14502638656709277,23,0.004083804903772767
P3alphaRecommender,0.18877773014584298,928,0.004151050022290237
P3alphaRecommender,0.2687109830948356,279,0.004316550436057322
P3alphaRecommender,0.4608958128704762,170,0.0045067995620808165
P3alphaRecommender,0.3720681048757247,848,0.004227843322294999
P3alphaRecommender,0.4482831652497895,145,0.004517713160272259
P3alphaRecommender,0.7210609961395956,530,0.004578576187849716
P3alphaRecommender,0.6669741916069275,696,0.004469493538848218
P3alphaRecommender,0.6724134832143683,159,0.004666958381284373
P3alphaRecommender,0.2711105757899951,920,0.004183095914602667
P3alphaRecommender,0.5856874713903105,14,0.004418940950837278
P3alphaRecommender,0.22534813781646232,256,0.004309476178570995
P3alphaRecommender,0.25832574344426407,573,0.004210841025212979
P3alphaRecommender,0.8016320618818329,184,0.004627082162006519
P3alphaRecommender,0.7308696445539565,471,0.004595271505237998
P3alphaRecommender,0.8377006784838094,894,0.0044634652230005085
P3alphaRecommender,0.17853223347115954,598,0.004169067818289984
P3alphaRecommender,0.27196386197271655,527,0.00421836801760604
P3alphaRecommender,0.19921981818749057,189,0.004314852511741624
P3alphaRecommender,0.7440818279460988,987,0.004498355188157487
P3alphaRecommender,0.22692760232036707,521,0.004204537860988811
P3alphaRecommender,0.4550383370364002,532,0.0043174696715630135
P3alphaRecommender,0.8209345475087998,60,0.0045459943747407075
P3alphaRecommender,0.8926856838853763,138,0.004101845486692464
P3alphaRecommender,0.5883876334482877,478,0.004454763448406777
P3alphaRecommender,0.6656620816978724,963,0.004404873498795618
