recommender,alpha,l1_ratio,TopK,MAP
ItemKNNCFRecommender,34,934,rp3beta,tfidf,0.00498963205882579
ItemKNNCFRecommender,31,974,rp3beta,tfidf,0.0049866892652617
ItemKNNCFRecommender,21,884,rp3beta,tfidf,0.004927923092696208
ItemKNNCFRecommender,10,870,rp3beta,tfidf,0.004846877040388147
ItemKNNCFRecommender,38,946,rp3beta,tfidf,0.004988992692248381
ItemKNNCFRecommender,45,958,rp3beta,tfidf,0.00498667073460583
ItemKNNCFRecommender,36,975,rp3beta,tfidf,0.00499092389763594
ItemKNNCFRecommender,51,913,rp3beta,tfidf,0.004981782068563072
ItemKNNCFRecommender,29,506,rp3beta,tfidf,0.0049066910050415075
ItemKNNCFRecommender,44,935,rp3beta,tfidf,0.0049936085052463865
ItemKNNCFRecommender,40,928,rp3beta,tfidf,0.004993598768560415
ItemKNNCFRecommender,33,367,rp3beta,tfidf,0.0048812464984311875
ItemKNNCFRecommender,26,900,rp3beta,bm25plus,0.0049042746238898375
ItemKNNCFRecommender,48,987,rp3beta,tfidf,0.004979100651021963
ItemKNNCFRecommender,39,930,rp3beta,tfidf,0.004992078542813489
ItemKNNCFRecommender,39,931,rp3beta,tfidf,0.004992376496294816
ItemKNNCFRecommender,36,955,rp3beta,tfidf,0.004994779339109161
ItemKNNCFRecommender,32,885,rp3beta,tfidf,0.004977784431270893
ItemKNNCFRecommender,41,943,rp3beta,tfidf,0.004989215500258452
ItemKNNCFRecommender,168,963,rp3beta,tfidf,0.004726074470274359
ItemKNNCFRecommender,29,914,rp3beta,tfidf,0.004962710302086538
ItemKNNCFRecommender,106,945,rp3beta,tfidf,0.004856408129292008
ItemKNNCFRecommender,22,873,rp3beta,tfidf,0.004937731345054513
ItemKNNCFRecommender,37,896,rp3beta,tfidf,0.004987463643627672
ItemKNNCFRecommender,35,977,rp3beta,tfidf,0.004989279679128052
ItemKNNCFRecommender,44,965,rp3beta,tfidf,0.004988762373472083
ItemKNNCFRecommender,49,935,rp3beta,tfidf,0.004986410567644878
ItemKNNCFRecommender,40,979,rp3beta,tfidf,0.0049931466988008206
ItemKNNCFRecommender,96,983,rp3beta,tfidf,0.004878751867728181
ItemKNNCFRecommender,39,955,rp3beta,tfidf,0.004991515501135028
ItemKNNCFRecommender,46,922,rp3beta,tfidf,0.004989558853998912
ItemKNNCFRecommender,53,999,rp3beta,tfidf,0.004974091878548507
ItemKNNCFRecommender,31,909,rp3beta,tfidf,0.0049681231299721325
