recommender,alpha,l1_ratio,TopK,MAP
ItemKNNCFRecommender,60,842,rp3beta,tfidf,0.004976039709234315
ItemKNNCFRecommender,27,944,rp3beta,bm25plus,0.004920672876167118
ItemKNNCFRecommender,65,995,rp3beta,bm25plus,0.004988681890135026
ItemKNNCFRecommender,73,889,rp3beta,bm25plus,0.004985343384647311
ItemKNNCFRecommender,91,782,rp3beta,bm25plus,0.004971932762005482
ItemKNNCFRecommender,48,854,rp3beta,bm25plus,0.004984174486313224
ItemKNNCFRecommender,82,923,rp3beta,bm25plus,0.004993694435172315
ItemKNNCFRecommender,84,921,rp3beta,bm25plus,0.004990094562426189
ItemKNNCFRecommender,56,560,rp3beta,tfidf,0.004935053987735658
ItemKNNCFRecommender,80,943,rp3beta,bm25plus,0.004987262005172927
ItemKNNCFRecommender,36,886,rp3beta,bm25plus,0.004953067075447576
ItemKNNCFRecommender,200,982,rp3beta,bm25plus,0.0048161606893707635
ItemKNNCFRecommender,70,501,rp3beta,tfidf,0.004920578216700207
ItemKNNCFRecommender,94,813,rp3beta,bm25plus,0.0049751889830793525
ItemKNNCFRecommender,60,865,rp3beta,bm25plus,0.004997604811801528
ItemKNNCFRecommender,44,839,rp3beta,bm25plus,0.004973812166125187
ItemKNNCFRecommender,52,906,rp3beta,bm25plus,0.004989554242136429
ItemKNNCFRecommender,62,873,rp3beta,bm25plus,0.004991029309807044
ItemKNNCFRecommender,66,973,rp3beta,bm25plus,0.004994697820866856
ItemKNNCFRecommender,75,968,rp3beta,bm25plus,0.004985040029241936
ItemKNNCFRecommender,58,947,rp3beta,bm25plus,0.0049885861938816995
ItemKNNCFRecommender,33,1000,rp3beta,tfidf,0.004992766244304414
ItemKNNCFRecommender,50,938,rp3beta,bm25plus,0.0050027223842934515
ItemKNNCFRecommender,41,922,rp3beta,bm25plus,0.004970163429082423
ItemKNNCFRecommender,48,976,rp3beta,bm25plus,0.0049998654388704045
ItemKNNCFRecommender,47,980,rp3beta,bm25plus,0.004990225936701465
ItemKNNCFRecommender,52,953,rp3beta,bm25plus,0.004995557397618444
ItemKNNCFRecommender,53,955,rp3beta,bm25plus,0.004994688742241477
ItemKNNCFRecommender,38,974,rp3beta,bm25plus,0.004961951984426191
ItemKNNCFRecommender,51,943,rp3beta,bm25plus,0.0050048775244959
ItemKNNCFRecommender,43,900,rp3beta,bm25plus,0.004967388853094873
ItemKNNCFRecommender,29,945,rp3beta,bm25plus,0.004935951254494863
ItemKNNCFRecommender,49,933,rp3beta,tfidf,0.0049872379226207795
ItemKNNCFRecommender,58,963,rp3beta,bm25plus,0.004989384073350506
ItemKNNCFRecommender,52,902,rp3beta,bm25plus,0.004987671271141299
ItemKNNCFRecommender,69,293,rp3beta,bm25plus,0.004881529620810782
ItemKNNCFRecommender,63,1000,rp3beta,bm25plus,0.004989658735797777
ItemKNNCFRecommender,56,975,rp3beta,bm25plus,0.004994118334720156
ItemKNNCFRecommender,46,878,rp3beta,bm25plus,0.004976433835291942
ItemKNNCFRecommender,24,955,rp3beta,bm25plus,0.00491693454953509
ItemKNNCFRecommender,60,935,rp3beta,bm25plus,0.004988965740173329
ItemKNNCFRecommender,50,914,rp3beta,bm25plus,0.0049940439185593355
ItemKNNCFRecommender,147,983,rp3beta,tfidf,0.004777691190124902
ItemKNNCFRecommender,54,947,rp3beta,bm25plus,0.004990964226626213
ItemKNNCFRecommender,40,861,rp3beta,bm25plus,0.004944261342932737
ItemKNNCFRecommender,54,890,rp3beta,bm25plus,0.004984793562317039
ItemKNNCFRecommender,65,953,rp3beta,bm25plus,0.004985002814231104
ItemKNNCFRecommender,44,932,rp3beta,bm25plus,0.004979836320195841
ItemKNNCFRecommender,36,912,rp3beta,bm25plus,0.0049550734476113065
ItemKNNCFRecommender,50,965,rp3beta,bm25plus,0.005007689909276689
ItemKNNCFRecommender,60,982,rp3beta,bm25plus,0.0049891469757251715
ItemKNNCFRecommender,49,778,rp3beta,bm25plus,0.004972504593733804
ItemKNNCFRecommender,68,968,rp3beta,bm25plus,0.0049938460204564765
ItemKNNCFRecommender,54,151,rp3beta,bm25plus,0.004810024777841693
ItemKNNCFRecommender,31,957,rp3beta,bm25plus,0.004940014924454438
ItemKNNCFRecommender,47,927,rp3beta,bm25plus,0.004987529415302985
ItemKNNCFRecommender,42,984,rp3beta,bm25plus,0.0049742061202937456
ItemKNNCFRecommender,51,897,rp3beta,bm25plus,0.004989771275411246
ItemKNNCFRecommender,57,958,rp3beta,tfidf,0.004974431199172152
ItemKNNCFRecommender,71,998,rp3beta,bm25plus,0.0049926335505901835
ItemKNNCFRecommender,61,739,rp3beta,bm25plus,0.004974844266786442
ItemKNNCFRecommender,65,843,rp3beta,bm25plus,0.004996206159049789
ItemKNNCFRecommender,77,849,rp3beta,bm25plus,0.00498218418225571
ItemKNNCFRecommender,66,874,rp3beta,bm25plus,0.004997838961530321
ItemKNNCFRecommender,63,819,rp3beta,bm25plus,0.0050081297776363954
ItemKNNCFRecommender,46,803,rp3beta,bm25plus,0.004971587889782576
ItemKNNCFRecommender,64,830,rp3beta,bm25plus,0.004999144565132402
ItemKNNCFRecommender,65,830,rp3beta,bm25plus,0.004992355950708885
ItemKNNCFRecommender,72,814,rp3beta,bm25plus,0.00498302960462623
ItemKNNCFRecommender,62,840,rp3beta,bm25plus,0.005009623747261172
ItemKNNCFRecommender,62,794,rp3beta,bm25plus,0.005000753933178639
ItemKNNCFRecommender,62,794,rp3beta,bm25plus,0.005000753933178639
ItemKNNCFRecommender,59,786,rp3beta,tfidf,0.004972946028105954
ItemKNNCFRecommender,62,768,rp3beta,bm25plus,0.004995973437460881
ItemKNNCFRecommender,74,824,rp3beta,bm25plus,0.004987664504615998
ItemKNNCFRecommender,70,747,rp3beta,bm25plus,0.004990281407894914
ItemKNNCFRecommender,57,795,rp3beta,bm25plus,0.004986597477555698
ItemKNNCFRecommender,63,710,rp3beta,bm25plus,0.004965281452331987
ItemKNNCFRecommender,56,868,rp3beta,bm25plus,0.004994651857274902
ItemKNNCFRecommender,76,806,rp3beta,bm25plus,0.004979119438127602
ItemKNNCFRecommender,68,838,rp3beta,bm25plus,0.004986176114133076
ItemKNNCFRecommender,61,773,rp3beta,bm25plus,0.004990267826770627
