recommender,alpha,l1_ratio,TopK,MAP
ItemKNNCFRecommender,50,818,rp3beta,bm25plus,0.004990899833391392
ItemKNNCFRecommender,62,617,rp3beta,tfidf,0.004944319910184076
ItemKNNCFRecommender,39,708,rp3beta,bm25plus,0.004926134159228834
ItemKNNCFRecommender,50,761,rp3beta,bm25plus,0.004962219700292601
ItemKNNCFRecommender,71,830,rp3beta,bm25plus,0.0049828381068338186
ItemKNNCFRecommender,52,906,rp3beta,bm25plus,0.004989554242136429
ItemKNNCFRecommender,77,960,rp3beta,bm25plus,0.004989178111174035
ItemKNNCFRecommender,41,870,rp3beta,tfidf,0.004991826067602823
ItemKNNCFRecommender,42,867,rp3beta,tfidf,0.004995007293399706
ItemKNNCFRecommender,22,782,rp3beta,tfidf,0.004928621842441728
ItemKNNCFRecommender,62,962,rp3beta,tfidf,0.004979633109070272
ItemKNNCFRecommender,164,860,rp3beta,tfidf,0.004736498648131958
ItemKNNCFRecommender,33,902,rp3beta,tfidf,0.004976451411016356
ItemKNNCFRecommender,43,864,rp3beta,tfidf,0.00499461667016515
ItemKNNCFRecommender,43,746,rp3beta,tfidf,0.004968489320214832
ItemKNNCFRecommender,57,823,rp3beta,tfidf,0.004974134783488474
ItemKNNCFRecommender,28,878,rp3beta,tfidf,0.004970887871540294
ItemKNNCFRecommender,38,943,rp3beta,tfidf,0.004990286805564697
ItemKNNCFRecommender,70,369,rp3beta,tfidf,0.004899201281835896
ItemKNNCFRecommender,15,914,rp3beta,tfidf,0.004876655886458949
ItemKNNCFRecommender,45,849,rp3beta,tfidf,0.004985629013966013
ItemKNNCFRecommender,83,174,rp3beta,bm25plus,0.004846653430638645
ItemKNNCFRecommender,54,768,rp3beta,tfidf,0.004976895998194596
ItemKNNCFRecommender,38,875,rp3beta,tfidf,0.004993269734136184
ItemKNNCFRecommender,34,806,rp3beta,tfidf,0.004969267028266685
ItemKNNCFRecommender,48,883,rp3beta,tfidf,0.004983395098918188
ItemKNNCFRecommender,28,970,rp3beta,tfidf,0.004966175880439094
ItemKNNCFRecommender,59,858,rp3beta,tfidf,0.004970268077439936
ItemKNNCFRecommender,38,916,rp3beta,bm25plus,0.0049516995151286545
ItemKNNCFRecommender,100,527,rp3beta,bm25plus,0.004949982140274751
ItemKNNCFRecommender,64,666,rp3beta,tfidf,0.004942062467444981
ItemKNNCFRecommender,44,945,rp3beta,bm25plus,0.00498198089967717
ItemKNNCFRecommender,53,730,rp3beta,tfidf,0.004982261820263755
ItemKNNCFRecommender,41,832,rp3beta,tfidf,0.004983940801044958
ItemKNNCFRecommender,36,882,rp3beta,tfidf,0.004988895579840095
ItemKNNCFRecommender,48,799,rp3beta,tfidf,0.004989811291770217
ItemKNNCFRecommender,29,856,rp3beta,tfidf,0.004973906853294272
ItemKNNCFRecommender,22,978,rp3beta,bm25plus,0.004906392239803033
ItemKNNCFRecommender,43,694,rp3beta,tfidf,0.004962167423543321
ItemKNNCFRecommender,59,932,rp3beta,bm25plus,0.004987825097215287
ItemKNNCFRecommender,67,873,rp3beta,bm25plus,0.004993695051097781
ItemKNNCFRecommender,74,779,rp3beta,bm25plus,0.004989466692381325
ItemKNNCFRecommender,55,894,rp3beta,bm25plus,0.004992310590483694
ItemKNNCFRecommender,66,897,rp3beta,bm25plus,0.004991085828006486
ItemKNNCFRecommender,198,810,rp3beta,bm25plus,0.004819079714221723
ItemKNNCFRecommender,55,845,rp3beta,bm25plus,0.004994156698806415
ItemKNNCFRecommender,82,837,rp3beta,bm25plus,0.004986768901792678
ItemKNNCFRecommender,51,925,rp3beta,bm25plus,0.00500061015024205
ItemKNNCFRecommender,69,917,rp3beta,bm25plus,0.00498666269514578
ItemKNNCFRecommender,62,961,rp3beta,bm25plus,0.004986222360713675
ItemKNNCFRecommender,51,991,rp3beta,bm25plus,0.005001455493913175
ItemKNNCFRecommender,51,998,rp3beta,bm25plus,0.004995060359614158
ItemKNNCFRecommender,53,996,rp3beta,bm25plus,0.004997770126524283
ItemKNNCFRecommender,51,997,rp3beta,bm25plus,0.004994069980224004
ItemKNNCFRecommender,48,982,rp3beta,bm25plus,0.004999517637542348
ItemKNNCFRecommender,48,978,rp3beta,bm25plus,0.005000155445617786
ItemKNNCFRecommender,47,980,rp3beta,bm25plus,0.004990225936701465
ItemKNNCFRecommender,50,980,rp3beta,bm25plus,0.005008615862886292
ItemKNNCFRecommender,49,1000,rp3beta,bm25plus,0.005000557192678986
ItemKNNCFRecommender,50,1000,rp3beta,bm25plus,0.005001513081481168
ItemKNNCFRecommender,48,974,rp3beta,bm25plus,0.004998821277287835
ItemKNNCFRecommender,49,950,rp3beta,bm25plus,0.0049987085129500446
ItemKNNCFRecommender,57,950,rp3beta,bm25plus,0.004992165595722661
ItemKNNCFRecommender,48,972,rp3beta,bm25plus,0.00499678868215325
ItemKNNCFRecommender,34,933,rp3beta,bm25plus,0.004957477095905313
ItemKNNCFRecommender,61,973,rp3beta,bm25plus,0.004986383341962747
ItemKNNCFRecommender,46,950,rp3beta,bm25plus,0.00498423016987897
ItemKNNCFRecommender,50,980,rp3beta,bm25plus,0.005008615862886292
ItemKNNCFRecommender,133,982,rp3beta,bm25plus,0.004893116111766624
ItemKNNCFRecommender,41,961,rp3beta,bm25plus,0.004972387012739823
ItemKNNCFRecommender,57,942,rp3beta,bm25plus,0.004990849134403161
ItemKNNCFRecommender,52,983,rp3beta,bm25plus,0.005001693111733923
ItemKNNCFRecommender,51,1000,rp3beta,bm25plus,0.0049943170277644
ItemKNNCFRecommender,46,978,rp3beta,bm25plus,0.004990105606372159
ItemKNNCFRecommender,63,960,rp3beta,bm25plus,0.00498591503926147
ItemKNNCFRecommender,36,923,rp3beta,bm25plus,0.004955558832268927
ItemKNNCFRecommender,52,977,rp3beta,bm25plus,0.005001352749273901
ItemKNNCFRecommender,56,981,rp3beta,bm25plus,0.0049904606501792945
ItemKNNCFRecommender,49,946,rp3beta,bm25plus,0.004998629672647308
ItemKNNCFRecommender,185,1000,rp3beta,bm25plus,0.00482774550167289
ItemKNNCFRecommender,41,960,rp3beta,bm25plus,0.004971419595523933
ItemKNNCFRecommender,121,983,rp3beta,bm25plus,0.00493416310515711
ItemKNNCFRecommender,52,926,rp3beta,bm25plus,0.004996922847240242
ItemKNNCFRecommender,49,945,rp3beta,bm25plus,0.004998744672587804
ItemKNNCFRecommender,45,968,rp3beta,bm25plus,0.004979432336510864
ItemKNNCFRecommender,59,953,rp3beta,bm25plus,0.004991012734260257
ItemKNNCFRecommender,53,912,rp3beta,bm25plus,0.005000383633251179
ItemKNNCFRecommender,54,933,rp3beta,bm25plus,0.0049876493280893415
ItemKNNCFRecommender,145,913,rp3beta,bm25plus,0.004883344662201408
ItemKNNCFRecommender,40,979,rp3beta,bm25plus,0.0049646744244106165
ItemKNNCFRecommender,73,984,rp3beta,bm25plus,0.0049849168387027624
ItemKNNCFRecommender,44,999,rp3beta,bm25plus,0.004984353111975238
ItemKNNCFRecommender,63,968,rp3beta,bm25plus,0.004987524570919205
ItemKNNCFRecommender,49,944,rp3beta,bm25plus,0.004999872213678004
ItemKNNCFRecommender,54,909,rp3beta,bm25plus,0.004990661908579969
ItemKNNCFRecommender,48,935,rp3beta,bm25plus,0.004989264767399077
ItemKNNCFRecommender,58,966,rp3beta,bm25plus,0.004989004709833343
ItemKNNCFRecommender,38,941,rp3beta,bm25plus,0.00496308655573018
ItemKNNCFRecommender,31,984,rp3beta,bm25plus,0.004938086399449061
ItemKNNCFRecommender,51,1000,rp3beta,bm25plus,0.0049943170277644
ItemKNNCFRecommender,46,923,rp3beta,bm25plus,0.004995567046280364
ItemKNNCFRecommender,56,895,rp3beta,bm25plus,0.004991508617888415
