recommender,alpha,beta,MAP
RP3beta_ItemKNNCF,0.8834220518514966,0.09085399062370837,0.05044172924249022
RP3beta_ItemKNNCF,0.8522977133397496,0.07595428883805166,0.05046244824240653
RP3beta_ItemKNNCF,0.9074287779766383,0.03445341694448716,0.050292226899674476
RP3beta_ItemKNNCF,0.8569126042157613,0.1334028355904886,0.050309977781020164
RP3beta_ItemKNNCF,0.8303876283576427,0.06786443434557181,0.05047879590122423
RP3beta_ItemKNNCF,0.8405254663546217,0.015362315430320586,0.050146711191181886
RP3beta_ItemKNNCF,0.8896938666028638,0.10566590240252213,0.05043532487443351
RP3beta_ItemKNNCF,0.9318759457042548,0.04942214454870484,0.050406820762995075
RP3beta_ItemKNNCF,0.8068549227683234,0.6551065182934905,0.04891749371789967
RP3beta_ItemKNNCF,0.8270625621864843,0.06846088464863781,0.050462604894166437
RP3beta_ItemKNNCF,0.8382896241989917,0.06469637183103104,0.050461254381726446
RP3beta_ItemKNNCF,0.8602163947323545,0.03034390948856147,0.050275992858448616
RP3beta_ItemKNNCF,0.8255567450380794,0.09841264045688312,0.050443271073681704
RP3beta_ItemKNNCF,0.9095227581756703,0.07430933363171201,0.05048136506306087
RP3beta_ItemKNNCF,0.9013549292785825,0.49805372781420065,0.049383996327880285
RP3beta_ItemKNNCF,0.7965046969371522,0.04428357060164053,0.0504299275988036
RP3beta_ItemKNNCF,0.43152386904558837,0.0013288890743039239,0.049903119321593366
RP3beta_ItemKNNCF,0.8748657374859337,0.4618346009211213,0.04944869706154281
RP3beta_ItemKNNCF,0.9113541459886221,0.5466824093522509,0.04926398848807629
RP3beta_ItemKNNCF,0.8191092019107247,0.0765997287598998,0.0504328412404143
RP3beta_ItemKNNCF,0.8532211773865893,0.06150586772934347,0.050443756200608404
RP3beta_ItemKNNCF,0.9385204769458589,0.11801393692759317,0.05045769273505113
RP3beta_ItemKNNCF,0.8088201790208281,0.08049296225245045,0.05044514033386
RP3beta_ItemKNNCF,0.8346379344019147,0.09948559678857492,0.0504438876725225
RP3beta_ItemKNNCF,0.7547999434359266,0.04916510137502862,0.05041291457494277
RP3beta_ItemKNNCF,0.8846022714052715,0.023779777099820043,0.05027287496728355
RP3beta_ItemKNNCF,0.7913560584629801,0.16290926729395866,0.050251366548736055
RP3beta_ItemKNNCF,0.8587760142990478,0.07459735656361885,0.05046585724096362
RP3beta_ItemKNNCF,0.7693958241911004,0.13170407525055897,0.05021450313819326
RP3beta_ItemKNNCF,0.835840502211224,0.06962357237962129,0.05045022064818814
RP3beta_ItemKNNCF,0.8608170551572392,0.08910172919045126,0.05044321930384275
RP3beta_ItemKNNCF,0.9171664486944324,0.05013432389690298,0.05040486054808213
RP3beta_ItemKNNCF,0.811739584510279,0.07856083051637315,0.05044910703643977
RP3beta_ItemKNNCF,0.7301922209420517,0.1044948558195999,0.05033299049322349
