recommender,alpha,topk,MAP
P3alphaRecommender,0.6949181139431627,185,0.015025522125588352
P3alphaRecommender,0.9629973347372732,270,0.015226042977285604
P3alphaRecommender,0.8624357080322207,100,0.017120151435574982
P3alphaRecommender,0.8517722514399102,171,0.01676315360309137
P3alphaRecommender,0.7709125276468778,100,0.016231456969804325
P3alphaRecommender,0.8660734474897389,222,0.016756888571254718
P3alphaRecommender,0.7987925081452949,241,0.015930596310092842
P3alphaRecommender,0.9687122011937155,150,0.014432909151748627
P3alphaRecommender,0.6458808347673732,201,0.014575730675938826
P3alphaRecommender,0.9095463687986199,300,0.0167274653218022
P3alphaRecommender,0.8671329664400533,127,0.01712277248924653
P3alphaRecommender,0.8379533668750907,106,0.016914079017768733
P3alphaRecommender,0.7256103602721073,104,0.015855643864086947
P3alphaRecommender,0.8400494030967307,132,0.01677891403804532
P3alphaRecommender,0.7924607983925289,181,0.016055990713283754
P3alphaRecommender,0.87603713677244,237,0.01679897185739672
P3alphaRecommender,0.8334944227053344,131,0.016727014009689376
P3alphaRecommender,0.9329511235685145,916,0.016170207911396114
P3alphaRecommender,0.7778261327362702,205,0.01581574660162897
P3alphaRecommender,0.8844789601390661,164,0.01704803464012757
P3alphaRecommender,0.8911923742221155,102,0.0170507673383294
P3alphaRecommender,0.9760663242110299,648,0.015582162255992828
P3alphaRecommender,0.8911377292340908,143,0.017016527237408253
P3alphaRecommender,0.8939077953123334,142,0.01702271181607453
P3alphaRecommender,0.8900635621076516,136,0.017058326625653864
P3alphaRecommender,0.9438294997793674,133,0.015369574263453508
P3alphaRecommender,0.9989641860509169,208,0.013603251506508597
P3alphaRecommender,0.9217611361353564,156,0.01661248032571926
P3alphaRecommender,0.8111658278650041,123,0.016523328656446446
P3alphaRecommender,0.8919618987041987,249,0.01692041137351853
P3alphaRecommender,0.1013769387100325,284,0.012120532620431853
P3alphaRecommender,0.9519320324500371,201,0.015409064405083923
P3alphaRecommender,0.32675817481024405,158,0.013364762941654966
P3alphaRecommender,0.8882792417106458,142,0.017060282875863832
P3alphaRecommender,0.8914997895552877,120,0.01708447080037417
P3alphaRecommender,0.9180287177953707,101,0.016428202982050857
P3alphaRecommender,0.8942756937922794,127,0.01706267229732127
P3alphaRecommender,0.8213016707216538,121,0.01662779338128764
P3alphaRecommender,0.8614942965846184,169,0.016876710035034485
P3alphaRecommender,0.9699648591724066,120,0.01420185772054928
P3alphaRecommender,0.929796938178783,220,0.016511019958287566
P3alphaRecommender,0.7665040615185021,150,0.015878476436990006
P3alphaRecommender,0.8501873279388285,100,0.01708225882118501
P3alphaRecommender,0.8832161253525194,118,0.017121134577689493
P3alphaRecommender,0.848090180645061,118,0.016969875171440486
P3alphaRecommender,0.8227142843477665,102,0.0167555326058525
P3alphaRecommender,0.9056190017038611,187,0.016931840005225296
P3alphaRecommender,0.7940400709541754,131,0.016278449105951817
P3alphaRecommender,0.9424509988659535,144,0.015495045803776126
P3alphaRecommender,0.5080179702630584,122,0.01445467565686285
P3alphaRecommender,0.8720622286273593,171,0.016992252247338812
P3alphaRecommender,0.7293599184153152,100,0.01589739796036196
P3alphaRecommender,0.4361268560631997,726,0.01230831926925016
P3alphaRecommender,0.8751568686464742,161,0.01708031624731304
P3alphaRecommender,0.856709244362922,192,0.016748461441437584
P3alphaRecommender,0.9045349005674359,146,0.016927999314629606
P3alphaRecommender,0.8393237305468219,120,0.01682097704640179
P3alphaRecommender,0.8820698223474382,163,0.017064881239176193
P3alphaRecommender,0.8153969543024725,164,0.016378980356839924
P3alphaRecommender,0.9578568915366247,222,0.015233686858160808
P3alphaRecommender,0.9256276628052788,189,0.016579341503087357
P3alphaRecommender,0.8681899835620921,139,0.017055747703975683
P3alphaRecommender,0.9814544561352528,880,0.015511302946078984
P3alphaRecommender,0.8747377826106252,138,0.017087731526241868
P3alphaRecommender,0.8827303575824914,160,0.017047703781489402
P3alphaRecommender,0.9130934503941177,120,0.01670453852631357
P3alphaRecommender,0.8506423088413301,177,0.016745490079228986
P3alphaRecommender,0.791674733486363,139,0.016202177360270898
P3alphaRecommender,0.8354279559833969,204,0.01648635323441135
P3alphaRecommender,0.8763131065621229,116,0.017140874200088977
P3alphaRecommender,0.9392054727299798,119,0.015460306886606946
P3alphaRecommender,0.8705176351753058,230,0.01678984168789643
P3alphaRecommender,0.7541856188687522,154,0.01574309399085087
P3alphaRecommender,0.8990276028434149,133,0.016998014487953312
P3alphaRecommender,0.8250680903916104,101,0.016799840218374093
P3alphaRecommender,0.881837464841563,176,0.01708337709226934
P3alphaRecommender,0.8553283339516342,173,0.01679882580910142
P3alphaRecommender,0.8074021515676066,253,0.015985071871258996
P3alphaRecommender,0.9162250881323697,156,0.016767069734384212
P3alphaRecommender,0.8811813793085531,114,0.017130700647585883
P3alphaRecommender,0.5805862822914102,115,0.014853460420458537
P3alphaRecommender,0.8711211681527218,601,0.016168650165664784
P3alphaRecommender,0.9307330665658023,192,0.01637825466729598
P3alphaRecommender,0.8891068810279582,382,0.016627755894363258
P3alphaRecommender,0.8504441126238528,137,0.016896777765831473
P3alphaRecommender,0.9052460389244116,116,0.0168837346421177
P3alphaRecommender,0.8822368699496526,153,0.01704643932830493
P3alphaRecommender,0.8341017418178303,101,0.01688595198369251
P3alphaRecommender,0.9582285817957942,169,0.01487115308188709
P3alphaRecommender,0.7824750609683382,129,0.016164243611625394
P3alphaRecommender,0.8699248241742227,150,0.01703592910670489
P3alphaRecommender,0.20799426896561862,115,0.013170720384450873
P3alphaRecommender,0.9177776906747276,179,0.016719833368585183
P3alphaRecommender,0.8911829487992972,135,0.017047807591537623
P3alphaRecommender,0.8479815808359484,140,0.016828831142109906
P3alphaRecommender,0.9008205900316073,100,0.016897148639605442
P3alphaRecommender,0.9372888201977123,124,0.015660468333776507
P3alphaRecommender,0.8786944455434794,167,0.0170910431899451
P3alphaRecommender,0.8186398470368819,210,0.01628797913505411
P3alphaRecommender,0.8630694726485587,169,0.016901174521572988
P3alphaRecommender,0.8792287564251492,192,0.0169753636905761
P3alphaRecommender,0.8408865431237639,155,0.01669551744975083
