recommender,topk,shrink,MAP
ItemKNNCBFRecommender,165,31.752300409729948,4.55251963409338e-05
ItemKNNCBFRecommender,302,61.822766051998634,5.168253736661593e-05
ItemKNNCBFRecommender,257,51.52688374254102,4.358173945341462e-05
ItemKNNCBFRecommender,202,20.356609735001076,6.358226742097595e-05
ItemKNNCBFRecommender,199,28.046022927603914,4.840916167563246e-05
ItemKNNCBFRecommender,489,17.55414746197869,5.218527663229912e-05
ItemKNNCBFRecommender,189,23.48853250865914,5.320793201128792e-05
ItemKNNCBFRecommender,211,12.575871252475338,4.782908975157671e-05
ItemKNNCBFRecommender,285,36.75259965013488,5.009328410863366e-05
ItemKNNCBFRecommender,148,20.724734550046655,6.264600930668801e-05
ItemKNNCBFRecommender,122,25.703738386461673,5.013836504253553e-05
ItemKNNCBFRecommender,49,16.978235487974015,3.717144219777422e-05
ItemKNNCBFRecommender,273,140.31841494759263,4.28151914354511e-05
ItemKNNCBFRecommender,107,21.677184444387105,5.157781303973012e-05
ItemKNNCBFRecommender,153,19.626066662854203,6.0414442568008053e-05
ItemKNNCBFRecommender,231,28.68120547033361,4.504524542504286e-05
ItemKNNCBFRecommender,222,12.757794684091444,5.231887492733011e-05
ItemKNNCBFRecommender,242,33.1240909956464,5.247843513884683e-05
ItemKNNCBFRecommender,146,25.621651416852682,5.6093528116433295e-05
ItemKNNCBFRecommender,330,16.870189568073847,5.057088592231828e-05
ItemKNNCBFRecommender,172,42.51594920278498,4.4989323558914313e-05
ItemKNNCBFRecommender,291,10.017480163001691,5.1263381046036806e-05
ItemKNNCBFRecommender,136,110.61047507052106,4.214429400372497e-05
ItemKNNCBFRecommender,209,20.168152757662238,6.506337450250354e-05
ItemKNNCBFRecommender,206,21.01501903388682,5.438612310677183e-05
ItemKNNCBFRecommender,192,23.096140960213397,5.124993752183637e-05
ItemKNNCBFRecommender,219,29.152330854385564,5.16160277782737e-05
ItemKNNCBFRecommender,308,15.220023380052448,4.634678430032613e-05
ItemKNNCBFRecommender,277,18.865048632132797,5.239364848000982e-05
ItemKNNCBFRecommender,261,25.24718717922992,5.538504626321744e-05
ItemKNNCBFRecommender,234,34.47373359363898,4.5585304900974536e-05
ItemKNNCBFRecommender,298,14.07204221246349,5.240529195475394e-05
ItemKNNCBFRecommender,420,21.37837479569766,6.206115911488551e-05
ItemKNNCBFRecommender,465,20.86271429034356,6.947001086091962e-05
ItemKNNCBFRecommender,421,95.34710282608435,5.2315900238477754e-05
ItemKNNCBFRecommender,461,20.34255770139,7.04497645991934e-05
ItemKNNCBFRecommender,456,17.667044923751686,4.597223621587793e-05
ItemKNNCBFRecommender,471,30.66743445382,4.8444335341071506e-05
ItemKNNCBFRecommender,441,22.144595116940025,5.8185087349366854e-05
ItemKNNCBFRecommender,480,189.05719842149142,4.831026922118745e-05
