recommender,alpha,topk,MAP
P3alphaRecommender,0.8763465493837501,114,0.017143345890733686
P3alphaRecommender,0.8757561958005798,113,0.01714278906494257
P3alphaRecommender,0.8747136494172063,115,0.01713933356501345
P3alphaRecommender,0.8753883861304108,114,0.017151458498678235
P3alphaRecommender,0.8753818977181035,113,0.0171477187087337
P3alphaRecommender,0.8739592919992025,114,0.017144406754629776
P3alphaRecommender,0.8757861082625101,115,0.01714506011605861
P3alphaRecommender,0.8761909876749875,113,0.017139707827550157
P3alphaRecommender,0.874483586963882,114,0.017139405182693145
P3alphaRecommender,0.874959126240817,114,0.017150553039990798
P3alphaRecommender,0.8749315477856997,114,0.017150401217833226
P3alphaRecommender,0.8748724327429994,114,0.01714481667729718
P3alphaRecommender,0.8742268984707248,115,0.017146172808701003
P3alphaRecommender,0.8753917804526609,113,0.01714741348968767
P3alphaRecommender,0.8746859999645427,114,0.017138684285331912
P3alphaRecommender,0.8765522875634779,120,0.01712715241254577
P3alphaRecommender,0.87497156649783,113,0.01715486911446785
P3alphaRecommender,0.8750087787480437,113,0.01716095741481261
P3alphaRecommender,0.875551891741197,113,0.01714430062372549
P3alphaRecommender,0.874920086971195,113,0.017151147302442462
P3alphaRecommender,0.8752722815509348,112,0.017135537091226453
P3alphaRecommender,0.8745672926743968,113,0.01713735929806286
P3alphaRecommender,0.8741753657157998,113,0.01713593467653896
P3alphaRecommender,0.8759582395510431,112,0.017134168455851567
P3alphaRecommender,0.87485441062714,114,0.01714448813059115
P3alphaRecommender,0.8757491172282191,113,0.01714274228552045
P3alphaRecommender,0.8739371010755518,113,0.01713924325426557
P3alphaRecommender,0.8743973019565412,114,0.017140479466050934
P3alphaRecommender,0.8750456867213177,115,0.017145928643382286
P3alphaRecommender,0.879954714365571,114,0.017124361493643173
P3alphaRecommender,0.8749619062009919,114,0.0171499961223341
P3alphaRecommender,0.8752434461103782,113,0.017148800757989604
P3alphaRecommender,0.8755464922125021,114,0.01715557716923316
P3alphaRecommender,0.8754844452474608,114,0.017153004919938705
P3alphaRecommender,0.8755872219912945,112,0.017138066454042113
P3alphaRecommender,0.8761065588966288,115,0.017136748924779555
P3alphaRecommender,0.8754066003452784,114,0.017151217847828793
P3alphaRecommender,0.8754144736815584,113,0.017147249644983337
P3alphaRecommender,0.8757096973132253,115,0.017144482395272848
P3alphaRecommender,0.8746471230116343,114,0.01713840056614516
P3alphaRecommender,0.8751994783383129,114,0.01714916590483016
P3alphaRecommender,0.8759953204275259,114,0.01714853763888362
P3alphaRecommender,0.8755145050547168,113,0.01714765037005499
P3alphaRecommender,0.8753445913432265,113,0.017147522777330698
P3alphaRecommender,0.8763290885805117,114,0.017143230125295877
P3alphaRecommender,0.8758702995909743,115,0.01714446358753437
P3alphaRecommender,0.8747688235419463,112,0.017140901888937427
P3alphaRecommender,0.8744889899467547,114,0.01713921767980428
P3alphaRecommender,0.8750502850486483,113,0.01716043769008457
P3alphaRecommender,0.8750804065443747,113,0.017160242741779203
P3alphaRecommender,0.8751100204765453,113,0.017157981891022234
P3alphaRecommender,0.8756396408628445,113,0.01714396486295207
P3alphaRecommender,0.8751924461329036,113,0.017147949732000126
P3alphaRecommender,0.8754509342826217,113,0.01714821561495645
P3alphaRecommender,0.8784683787191312,112,0.017121435080545602
P3alphaRecommender,0.8747073578319139,113,0.017143487225247587
P3alphaRecommender,0.8751442533718324,112,0.017142263887667115
P3alphaRecommender,0.8742775286551928,113,0.017134190998539623
P3alphaRecommender,0.875782368559206,112,0.017138791732277846
P3alphaRecommender,0.8750421105700519,113,0.01716033327020711
P3alphaRecommender,0.8753190984385962,113,0.01714952325903636
P3alphaRecommender,0.8748833061037891,113,0.01715185487074128
P3alphaRecommender,0.8745675687043104,113,0.017137186684809184
P3alphaRecommender,0.8750620373598437,113,0.017159889124683594
P3alphaRecommender,0.8756134209298378,113,0.01714433166487826
P3alphaRecommender,0.8753891466233257,113,0.01714753689318395
P3alphaRecommender,0.8748222084062374,113,0.017148790705335603
P3alphaRecommender,0.8751307107006454,112,0.017141778820893284
P3alphaRecommender,0.8761578914092919,113,0.017140224452017776
P3alphaRecommender,0.8749684824679245,114,0.01714971051182052
P3alphaRecommender,0.8751053793512871,113,0.01715800672442443
P3alphaRecommender,0.8751672912585123,113,0.0171462049908879
P3alphaRecommender,0.8755288067113913,113,0.017146697212726398
P3alphaRecommender,0.8746618857885206,112,0.0171418692018586
P3alphaRecommender,0.875905507792356,113,0.01714111330950342
P3alphaRecommender,0.8743685720577736,113,0.017135329412588805
P3alphaRecommender,0.8752806587779244,114,0.01715382663774273
P3alphaRecommender,0.8747854185690257,113,0.017147723628079654
